content,anger,fear,joy,sadness,surprise
"They keep coming from the direction of the border.",0,0,0,0,0
"Just a constant wave after wave.",0,0,0,0,0
"This is her.",0,0,0,0,0
"You know your training. Lock it down.",0,0,0,0,0
"There's more coming!",1,1,0,0,0
"There's more coming in!",1,1,0,0,0
"It's not smart to go to sleep unless it's safe.",0,1,0,0,0
"No.",0,0,0,0,0
"It's not.",0,0,0,0,0
"Well? ""Well"" What?",1,0,0,0,1
"Is it safe?",0,0,0,0,0
"Michonne, do you copy?",0,0,0,0,0
"How long till the next wave hits?",0,1,0,0,0
"One hour from the north, two from the south.",0,0,0,0,0
"Northern wave's thicker than fleas on a farm dog, but the southern's more dispersed.",0,1,0,0,0
"By my estimation, we'll be fighting into the night again.",0,1,0,0,0
"Yeah, can't push 'em too much further.",0,0,0,0,0
"I have eyes.",1,0,0,0,0
"Sorry. I'm just tired.",0,0,0,1,0
"We all are.",0,0,0,1,0
"Hey, heads up.",0,0,0,0,0
"The north border. Now. - Call off your walkers. - Not us.",0,0,0,0,0
"Yeah, right.",0,0,1,0,0
"Not.",1,0,0,0,0
"Go to the border, lay down your weapons, and wait.",0,0,0,0,0
"Wait for what?",0,0,0,0,1
"Her.",0,0,0,0,0
"All right!",0,0,0,0,0
"Is this your mother?",0,0,0,0,0
"No.",0,0,0,0,0
"I don't think it is.",1,0,0,0,0
"Why's she want to talk with us?",0,0,0,0,1
"You crossed into her land.",0,0,0,0,0
"Again. You have to answer for that.",1,0,0,0,0
"We don't have to do anything.",0,0,0,0,0
"We could just not go. - That's a bad idea. - We're already under attack.",1,1,0,0,0
"Yeah! Yeah!",0,0,1,0,0
"It isn't her.",0,0,0,0,0
"If she wanted you dead, she'd send the horde.",1,0,0,0,0
"All of it, not just a few waves at a time.",0,1,0,0,0
"Maybe she's trying to wear us down first.",0,0,0,0,0
"Or, as I relayed to you all at the beginning of this meeting, there's plausible reason to believe that the satellite and fire...",0,0,0,0,0
"I don't want to hear about the damn satellite anymore, Eugene!",1,0,0,0,0
"My friends died trying to save yours and ended up with their heads on spikes.",1,0,0,0,0
"The Highwaymen want justice!",1,0,0,0,0
"Yeah! Yeah!",0,0,1,0,0
"So all I want to hear from you is that you're gonna take a dozen of us to meet these freaks at the border and that we're gonna take that lead bitch's head off!",1,0,0,0,0
"We cut it off!",0,0,1,0,0
"And then we'll put their heads on spikes!",0,0,0,0,0
"You all right?",0,0,0,0,0
"Yeah. Yeah, I just need to get some air.",0,0,0,0,0
