content,anger,fear,joy,sadness,surprise
Great.,0,0,1,0,0
"It's so nice to see you back, Mr. Bentley.",0,0,1,0,0
But with no money? Cool my ass.,1,0,0,0,0
Ming. As in to engrave on one's mind.,0,0,0,0,0
Someone's waking them up.,0,0,0,0,0
Thank you for meeting me.,0,0,1,0,0
"Debbie, um... that has you leaving at 9:30.",0,0,0,0,0
"What, now you're telling me how to feel?",0,0,0,0,1
Is gone.,0,0,0,1,0
"Yes, Zhu Tian went for a physical.",0,0,0,0,0
I could use some quotes on that mayor story.,0,0,0,0,0
Why are you in Hong Kong?,0,0,0,0,1
"That's not exactly agency policy, but it's admirable.",0,0,1,0,0
A lot of people have died already for the sake of this mission.,1,0,0,1,0
Is she all right?,0,0,0,0,1
Kiss me.,0,0,1,0,0
"Oh, I miss all the fun.",0,0,0,1,0
What's your name? I remember you.,0,0,1,0,0
We've got Matt Edwards on the ground.,0,0,0,0,1
Out of the way! Out of the way!,1,0,0,0,0
"I knew you had it handled,",0,0,0,0,0
"That makes Romero missing, not dead.",0,0,0,1,0
Get this. Harrison Wells is alive.,0,0,1,0,1
"I know you're busy, so I bought them for you.",0,0,1,0,0
"Yeah, and the Triad could already have it.",0,0,0,0,0
I enjoyed your show.,0,0,1,0,0
"Turn left at the next intersection, turn right at the next light... - and go straight. - Thanks. - Don't mention it. - Thanks.",0,0,0,0,0
"Causes rashes, blindness. - Is it permanent? - Sometimes.",0,1,0,0,0
"My ex sang ""Crushed by the One I Love.""",0,0,1,0,0
"If Dr. Rosso can help us in any way, then, yeah, I'm open to it, and you should be, too.",0,0,1,0,0
"You're not gonna be at my birthday party next year, are you?",0,0,0,1,0
"Dong, get your facts straight.",1,0,0,0,0
And it is going to get worse before it gets better.,0,1,0,1,0
House policy.,0,0,0,0,0
"I'm so sorry, Laurel...",0,0,0,1,0
Stay here. Fix that useless piece of junk.,0,0,0,0,0
"This is what China White wants, this is what I'm gonna give her.",0,0,0,0,0
"She's processing her grief, and if we have a new mission and the multiverse depends on it, Oliver, we have to get going right now.",0,0,0,0,0
By doing the right thing.,0,0,0,0,0
"Where's Rene, where's Dinah?",0,1,0,0,0
"You want to go to earth-37, earth-14?",0,0,0,0,1
The Highwaymen want justice!,1,0,0,0,0
I met him a few years ago through Cayden James.,0,0,0,0,0
That's why he can't die.,0,0,0,1,0
This is the pain beneath my anger.,0,0,0,1,0
Six men is an extraction unit.,0,0,0,0,0
They're gonna think I helped you.,0,0,0,1,0
Dark matter is a miraculous thing.,0,0,0,0,1
Tens of thousands.,0,0,0,0,0
"Yeah. I'm not that kid anymore, Con.",0,0,0,0,0
We are on edge.,0,0,0,1,0
"Yeah. Well, so did I, and as far as I know, Lyla did, too.",0,0,0,0,0
It happens. Layoffs after the new year.,0,0,0,1,0
"Dong, let's talk to the boss.",0,0,0,0,0
You don't believe me?,0,0,0,0,1
Romero's dark matter-infused cells are destroying his normal cells.,0,0,0,1,0
It's not that simple.,0,0,0,1,0
Hello?,0,0,0,0,0
Working with dark matter can be really dangerous.,0,1,0,0,0
All we can do is try and move forward.,0,0,1,0,0
"John, I didn't even want to get you involved in this.",1,0,0,0,0
Alright...don't cry.,0,0,0,1,0
They are no more.,0,1,0,0,0
Doc!,0,1,0,0,0
"Oh, my God.",0,0,0,0,1
Morris's wife had a baby. He's back in D. C.,0,0,1,0,0
"To prevent the crisis that's coming,",0,1,0,0,0
Good.,0,0,1,0,0
I've been a cop for over 1 0 years.,0,0,0,0,0
"Well, it helps to be married to Lyla Michaels, who is en route even as we speak.",0,0,1,0,0
"Allegra, it's not what you think, okay?",0,0,0,1,0
He said you're looking for an old friend.,0,0,0,0,0
Your wife is absolutely right.,0,0,0,0,1
"The number you have dialed has been disconnected. ""I'm like a pathetic joke"" ""holding onto thin air."" ""Perhaps I should have given up,"" ""given up meaningless courage."" ""I should not hope for anything."" ""I should not believe in miracles,"" ""but go on living without any expectations."" ""Nothing can be resolved."" ""Why talk about the future? "" ""I can't let go ""my love for you."""" """"The silent guitar"""" """"is answering me quietly."""" """"I talk to myself"""" """"when it's raining in my heart.""""""",0,0,0,1,0
"Now this machine is hooked up to A.R.G.U.S.' intranet,",0,0,0,0,0
Please trust me.,0,0,0,1,0
Congratulations.,0,0,1,0,0
Do I look pussy whipped to you?,0,0,0,0,1
Damn it! I'm going after the virus!,1,0,0,0,0
"Ah, it all worked out in the end.",0,0,1,0,0
"Thank you, sir.",0,0,1,0,0
"What, do you want me to hang myself?",1,0,0,0,0
He makes musical instruments. He's reticent.,0,0,0,0,0
You call this nice?,0,0,0,0,1
"Well, our situation just got a whole lot more complicated.",0,1,0,0,0
What did you say?,0,0,0,0,0
"So Frost has never had a birthday party, so I offered to throw her one.",0,0,1,0,0
Slow down. Why did you run? - I'm sorry. - Dong. - I'm sorry. - Dong.,0,0,0,1,0
Where did you see him?,0,0,0,0,1
The Alpha/Omega is a powerful weapon.,0,0,0,0,0
It is really snowing.,0,0,0,0,0
"No, you must tear it down.",1,0,0,0,0
"You know, we were happy, but I knew it wouldn't last, so I ended it.",0,0,1,0,0
It never occurred to you that they let you finish it?,0,0,0,0,1
You're going to be a father.,0,0,1,0,0
"Kwon's daughter is in danger, which means you might be, too.",0,1,0,0,0
"I can't give her a better life,",0,0,0,1,0
Thank you. - So happy. - Cheers.,0,0,1,0,0
You think women can only climb onto a bed?,0,0,0,0,1
It's clear.,0,0,0,0,0
Are you OK?,0,0,0,0,1
