content,anger,fear,joy,sadness,surprise
My name is Oliver Queen.,0,0,0,0,0.0
"For 7 years, I have fought with only one goal-- to save my city.",0,0,1,0,0.0
"But now a new threat has emerged, a danger so severe it has forced me to leave my family in order to face it, and it won't be enough for me to just be the Green Arrow.",0,1,0,0,0.0
"To prevent the crisis that's coming,",0,1,0,0,0.0
"I am going to have to become someone else,",0,0,0,1,0.0
I am going to have to become...something else.,0,0,0,1,0.0
"We see the wall coming down as an opportunity,",0,0,1,0,0.0
For the criminals of Star City to rob the Glades blind.,0,0,0,0,0.0
The Deathstroke gang has really upped their game.,0,1,0,0,0.0
They've amassed more territory and power than ever before.,0,1,0,0,0.0
Your brother hates you. That makes things unpredictable.,0,1,0,0,0.0
Vasquez is one of the Glades' wealthiest citizens.,0,0,0,0,0.0
Maybe the Deathstrokes plan to extort him.,0,0,0,0,0.0
"A crisis is coming, John.",0,1,0,0,0.0
What are you doing here?,1,0,0,0,0.0
"Reminding you what you are doing here, which does not include interfering in the events of this earth. - The city's under attack. - By who?",0,1,0,0,0.0
A crisis is imminent.,0,1,0,0,0.0
"Someone is coming,",0,1,0,0,0.0
"Someone far, far more powerful than myself.",0,1,0,0,0.0
We have to get the hell out of here.,0,0,0,0,0.0
"I missed you, buddy.",0,0,0,1,0.0
We found ourselves in each other.,0,0,1,0,0.0
You're never without me.,0,0,0,0,0.0
What's happening?,0,1,0,0,0.0
I warned you not to interfere.,1,0,0,0,0.0
You didn't bring us here?,0,0,0,0,0.0
"No. I discovered what had transpired on Earth-2, that you intervened to save Laurel Lance.",0,0,0,0,0.0
I redirected you.,0,0,0,0,0.0
What...the hell happened back there?,0,0,0,0,1.0
"A herald of what is to come, an entire world erased from existence.",0,0,0,0,0.0
Where's my mother?,0,0,0,0,0.0
Where's--where's Tommy?,0,1,0,0,0.0
"Where's Rene, where's Dinah?",0,1,0,0,0.0
They are no more.,0,1,0,0,0.0
Did you hurt John and Laurel?,0,0,0,0,0.0
"They are alive and nearby, but now you know that if we fail to stop the coming crisis, what you witnessed will occur on infinite earths across the expanse of time.",0,1,0,0,0.0
How did I fail? Your dwarf star particles are right there.,0,1,0,0,0.0
You disobeyed my instructions to avoid entanglements on a parallel earth.,1,0,0,0,0.0
You confronted Tommy Merlyn.,0,0,0,0,0.0
You altered the fate of Laurel Lance.,0,0,0,0,0.0
I watched her die once.,0,0,0,1,0.0
Ok. I wasn't prepared to do it again.,0,0,0,0,0.0
"You are not a man accustomed to following orders, but the survival of the multiverse requires that you obey mine.",0,0,0,0,0.0
Where are we?,0,0,0,0,1.0
"Your home earth, where you will complete your next task.",0,0,0,0,0.0
There's a man named Dr. Robert Wong.,0,0,0,0,0.0
Bring him to me.,0,0,0,0,0.0
 - Why?,0,0,0,0,1.0
" - Now, that is not your concern.",0,0,0,0,0.0
Do not fail me again.,1,0,0,0,0.0
"Oliver, we have to get out of here...now. - Who are they? - Local gang.",0,0,0,0,0.0
I think we busted up a deal.,0,0,1,0,0.0
Nice of you to show up.,0,0,1,0,0.0
Where the hell are we?,1,0,0,0,0.0
We're in Hong Kong.,0,0,0,0,0.0
It's--it's not possible.,0,0,0,0,1.0
There's no way that my entire earth is just-- is just gone.,0,0,0,1,1.0
"You saw what happened to the SCPD, right, that energy wave, people just disappearing?",0,0,0,0,0.0
That doesn't mean it happened everywhere.,0,0,0,0,0.0
Oh. You call that a real name?,0,0,0,0,1.0
He's the one that has asked me to be on this mission.,0,0,0,0,0.0
He is trying to prevent a crisis...,0,0,0,0,0.0
"Oliver, just stop.",1,0,0,0,0.0
Hand me the breach device.,0,0,0,0,0.0
Give it to me. I'm going back.,0,0,0,0,0.0
"Laurel, back where?",0,0,0,0,0.0
To my earth to look for any survivors.,0,0,0,0,0.0
It's not working.,0,0,0,1,0.0
Probably damaged on our jump through the portal.,0,1,0,1,0.0
We don't have time to go all the way to S.T.A.R. Labs.,0,0,0,0,0.0
I--I have to find somebody local.,0,0,0,0,0.0
"I'm sorry, but we need to focus on the mission.",0,1,0,0,0.0
"First of all, there is no we here, and the only mission that I care about is saving what's left of my earth.",0,0,0,0,0.0
There's no one left to save.,0,0,0,0,0.0
The only thing that we can do right now is prevent this from happening again by doing what the Monitor tells us--,0,0,0,0,0.0
"Screw the Monitor, Oliver,",0,0,0,0,0.0
"And screw you, too.",0,0,0,0,0.0
None of this would have happened if you hadn't shown up on my earth in the first place.,1,0,0,0,0.0
"All of those people that you saw die, they weren't real to you.",0,0,0,0,0.0
They were just copies of the people that you love...,0,0,0,0,0.0
"But that is my home, and those people, those are real people who are counting on me--",0,0,0,1,0.0
"I just got my life back, and I am not giving it up without a fight.",0,0,0,0,0.0
"Let her go, man.",1,1,0,0,0.0
"She's wasting her time, John.",1,0,0,0,0.0
"She's processing her grief, and if we have a new mission and the multiverse depends on it, Oliver, we have to get going right now.",0,0,0,0,0.0
Anyone want to fill me in on what happened out there?,0,0,0,0,0.0
I almost got my throat slit.,0,1,0,0,0.0
Turns out Connor doesn't know his brother as well as he thinks.,0,0,0,0,0.0
